Date,Open,High,Low,Close,Volume
2026-07-12 18:00:00,29952,29978.75,29922,29970.5,0
2026-07-12 18:01:00,29970.75,29979.5,29946,29953.5,0
2026-07-12 18:02:00,29955.25,29961.25,29935,29948.75,0
2026-07-12 18:03:00,29947.75,29951,29923.5,29925.25,0
2026-07-12 18:04:00,29923.75,29932,29913.75,29917.25,0
2026-07-12 18:05:00,29915.5,29925.5,29877,29882.5,0
2026-07-12 18:06:00,29883.5,29892.25,29869.75,29890,0
2026-07-12 18:07:00,29889.75,29909.5,29888.25,29905,0
2026-07-12 18:08:00,29906,29910,29894,29905.75,0
2026-07-12 18:09:00,29907.25,29907.75,29892.25,29894.25,0
2026-07-12 18:10:00,29894.25,29915,29891,29904,0
2026-07-12 18:11:00,29903.75,29903.75,29885.5,29890.5,0
2026-07-12 18:12:00,29892.5,29899.75,29863,29866.25,0
2026-07-12 18:13:00,29868.25,29880.25,29855,29879.25,0
2026-07-12 18:14:00,29880.75,29884.25,29860.75,29864.25,0
2026-07-12 18:15:00,29866.25,29887.75,29866.25,29872.75,0
2026-07-12 18:16:00,29872.75,29879.75,29862.25,29878,0
2026-07-12 18:17:00,29878.25,29879.25,29865.5,29874,0
2026-07-12 18:18:00,29875,29878.25,29862.5,29868,0
2026-07-12 18:19:00,29866.75,29872.75,29865.75,29870,0
2026-07-12 18:20:00,29868.25,29888.75,29868,29886.5,0
2026-07-12 18:21:00,29887,29889.75,29882.5,29884.25,0
2026-07-12 18:22:00,29885,29897.5,29883,29892,0
2026-07-12 18:23:00,29893,29893.5,29886,29888.25,0
2026-07-12 18:24:00,29888.75,29888.75,29875,29882.25,0
2026-07-12 18:25:00,29882.25,29884.25,29876.75,29884.25,0
2026-07-12 18:26:00,29884.75,29890.5,29881.75,29882.75,0
2026-07-12 18:27:00,29884.75,29886.5,29881,29881,0
2026-07-12 18:28:00,29883.75,29886,29876.75,29881.25,0
2026-07-12 18:29:00,29882.25,29888,29882.25,29887.25,0
2026-07-12 18:30:00,29887.25,29900,29887.25,29897.5,0
2026-07-12 18:31:00,29897,29900,29893,29896.25,0
2026-07-12 18:32:00,29895.75,29897,29889.75,29893,0
2026-07-12 18:33:00,29892.5,29895.75,29890.5,29892.25,0
2026-07-12 18:34:00,29893.25,29894.25,29890,29894.25,0
2026-07-12 18:35:00,29890.25,29898.75,29889.25,29894.5,0
2026-07-12 18:36:00,29895.5,29904.25,29893.75,29896.75,0
2026-07-12 18:37:00,29894.75,29895.5,29871.75,29878.25,0
2026-07-12 18:38:00,29878.75,29884,29878.75,29881,0
2026-07-12 18:39:00,29883.25,29898,29873.25,29891.75,0
2026-07-12 18:40:00,29891.75,29893.5,29875,29883,0
2026-07-12 18:41:00,29883.25,29885,29880.25,29883.5,0
2026-07-12 18:42:00,29881.75,29888,29881.25,29886,0
2026-07-12 18:43:00,29887.75,29892.25,29884.25,29890.75,0
2026-07-12 18:44:00,29889,29900,29888.75,29893.5,0
2026-07-12 18:45:00,29894,29896.5,29890,29891.75,0
2026-07-12 18:46:00,29890,29893,29881.5,29889,0
2026-07-12 18:47:00,29888,29896.75,29888,29890.25,0
2026-07-12 18:48:00,29891.75,29891.75,29871.75,29874.25,0
2026-07-12 18:49:00,29876.25,29882.25,29876.25,29878.25,0
2026-07-12 18:50:00,29880.75,29882.75,29879,29881,0
2026-07-12 18:51:00,29881.25,29884,29878.25,29882.25,0
2026-07-12 18:52:00,29883.75,29892.5,29883,29890.75,0
2026-07-12 18:53:00,29891,29891,29887.25,29889,0
2026-07-12 18:54:00,29888.5,29892.75,29887,29888.5,0
2026-07-12 18:55:00,29888.5,29908.25,29888,29904.5,0
2026-07-12 18:56:00,29903.5,29912.75,29902,29911,0
2026-07-12 18:57:00,29909,29915,29908.75,29912,0
2026-07-12 18:58:00,29913,29914.75,29910.75,29911,0
2026-07-12 18:59:00,29913.25,29914.25,29909.5,29910.25,0
2026-07-12 19:00:00,29909.75,29910.5,29880.5,29887.25,0
2026-07-12 19:01:00,29888,29898.75,29883.75,29885.75,0
2026-07-12 19:02:00,29886,29899,29884.75,29898.5,0
2026-07-12 19:03:00,29898,29901.75,29893.5,29893.5,0
2026-07-12 19:04:00,29895.25,29896,29888.25,29894.25,0
2026-07-12 19:05:00,29896,29905.25,29893.75,29895.5,0
2026-07-12 19:06:00,29893.5,29904.5,29893.5,29899,0
2026-07-12 19:07:00,29898.75,29898.75,29890,29896,0
2026-07-12 19:08:00,29898.5,29898.75,29889.5,29892,0
2026-07-12 19:09:00,29889.75,29892,29889.5,29890.75,0
2026-07-12 19:10:00,29892,29895.25,29891.5,29894.75,0
2026-07-12 19:11:00,29894,29896.5,29892,29892,0
2026-07-12 19:12:00,29892.75,29896.75,29892.5,29893.75,0
2026-07-12 19:13:00,29893.75,29897.5,29893.75,29896.5,0
2026-07-12 19:14:00,29894.75,29896.5,29884.5,29891.25,0
2026-07-12 19:15:00,29890.25,29892.25,29869.5,29871.5,0
2026-07-12 19:16:00,29872,29891.5,29871.75,29886.75,0
2026-07-12 19:17:00,29886,29894.25,29884.75,29889.5,0
2026-07-12 19:18:00,29890.25,29891.5,29885.5,29888,0
2026-07-12 19:19:00,29888.5,29891.5,29880.25,29891.5,0
2026-07-12 19:20:00,29890,29894,29883,29887,0
2026-07-12 19:21:00,29884.75,29888.25,29876,29885.75,0
2026-07-12 19:22:00,29885.25,29887.75,29876.75,29877.5,0
2026-07-12 19:23:00,29877.5,29882.25,29877.5,29881.75,0
2026-07-12 19:24:00,29882,29882,29880.25,29881.5,0
2026-07-12 19:25:00,29881,29885,29880,29882.25,0
2026-07-12 19:26:00,29883.25,29887.5,29879,29880.75,0
